yr	plot	total	AO	DM	DO	DS	PB	PF	PP
1989	1	59	11	19	27	0	0	0	2
1990	1	64	1	32	29	0	0	0	2
1991	1	76	3	20	47	0	0	0	6
1992	1	52	2	14	30	0	0	0	6
1993	1	25	2	15	6	0	0	0	2
1994	1	28	0	26	0	0	0	1	1
1989	2	48	19	2	25	0	0	0	2
1990	2	44	4	7	32	0	0	0	1
1991	2	51	14	7	25	0	0	0	5
1992	2	56	19	3	29	0	0	0	5
1993	2	20	5	7	7	0	0	1	0
1994	2	29	1	14	9	0	0	0	5
1989	4	78	6	63	0	6	0	2	1
1990	4	120	0	110	0	10	0	0	0
1991	4	90	2	79	1	0	0	6	2
1992	4	53	0	43	2	0	0	3	5
1993	4	28	1	22	0	0	0	2	3
1994	4	36	0	32	0	0	0	4	0
1989	8	88	6	67	5	8	0	0	2
1990	8	86	1	73	12	0	0	0	0
1991	8	85	3	77	3	0	0	0	2
1992	8	46	2	29	14	0	0	1	0
1993	8	33	0	21	11	0	0	1	0
1994	8	36	0	21	13	0	0	0	2
1989	9	72	13	46	13	0	0	0	0
1990	9	83	0	69	13	0	0	0	1
1991	9	73	9	63	1	0	0	0	0
1992	9	52	3	49	0	0	0	0	0
1993	9	35	0	35	0	0	0	0	0
1994	9	22	2	19	1	0	0	0	0
1989	11	58	20	32	5	0	0	0	1
1990	11	89	2	60	27	0	0	0	0
1991	11	60	8	39	10	0	0	0	3
1992	11	52	13	30	1	0	0	0	8
1993	11	41	2	34	1	0	0	0	4
1994	11	40	1	39	0	0	0	0	0
1989	12	58	31	11	14	0	0	0	2
1990	12	46	11	14	21	0	0	0	0
1991	12	44	10	28	5	0	0	0	1
1992	12	44	7	26	2	0	0	0	9
1993	12	39	3	31	0	0	0	0	5
1994	12	38	0	36	2	0	0	0	0
1989	14	59	11	42	6	0	0	0	0
1990	14	71	3	57	11	0	0	0	0
1991	14	63	5	53	5	0	0	0	0
1992	14	66	3	52	1	6	0	2	2
1993	14	50	1	41	0	3	0	2	3
1994	14	35	0	35	0	0	0	0	0
1989	17	57	30	6	21	0	0	0	0
1990	17	47	7	15	25	0	0	0	0
1991	17	53	9	16	22	0	0	2	4
1992	17	70	4	46	8	0	0	4	8
1993	17	50	2	34	0	0	0	9	5
1994	17	47	0	42	0	0	0	5	0
1989	22	53	12	22	0	19	0	0	0
1990	22	34	7	20	0	7	0	0	0
1991	22	23	2	7	0	11	0	1	2
1992	22	24	1	9	0	12	0	1	1
1993	22	20	2	3	0	12	0	3	0
1994	22	22	0	10	0	9	0	0	3
